"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
01ca39d5-947c-4587-b236-6aa9f446ee05,Product Code,"#N/A",Value,"#N/A","#N/A",Quote,not equals,d9299426-26e5-4ce8-a603-dfad27d7e3e8,"#N/A","#N/A",123
04a9feb0-51df-48dd-b16d-85db5291e4e1,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,a730dffd-5f07-4cfd-8186-a9b73c5b3f63,"#N/A","#N/A",EP-014
074d3646-f3aa-49a5-b0f7-33f01059da26,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,0a9a4b5c-03bb-4eba-8bbd-2b40fe5de148,"#N/A","#N/A",EP-014
08bcd509-6d45-45a4-bd7c-18d2a54b051f,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,5207cf87-dcb5-48eb-9b63-46c33d8251cc,"#N/A","#N/A",WDCHIP
0aa085b1-d264-4555-ad01-e531a68d1074,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,36a0f69b-5904-4b08-ad85-2c1b1e3073ee,"#N/A","#N/A",Run-on-all-quotelines
0b2ec71f-29f8-4669-9bdd-2814db41a264,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,8b2837d3-ea3e-41be-8fcd-915017021c96,"#N/A","#N/A",0
0cbd0545-4132-4c27-aa35-88638b71d1cd,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,6faa0ac1-2cce-4423-ab49-b2b3d011637e,"#N/A","#N/A",EP-015
12b74d78-0c09-4121-98f7-d31e6af8ce31,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,7bd19c11-26d4-4ce0-ab22-d69e49d47d25,"#N/A","#N/A",EP-014
22add63d-be7f-4966-910a-83e1ac5d3f34,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,de9d2379-fca8-419b-a289-1cb9cf47bba4,"#N/A","#N/A",0
23b32c9b-8f42-4fbe-a458-ecc9cdb1a347,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,8cf7e981-6a09-4702-b55e-90e71d610d09,"#N/A","#N/A","#N/A"
2891d3b5-53c4-442b-a414-635e8a351b79,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,8f579741-ca63-4a9a-b222-17c2558d8648,"#N/A","#N/A",fdhfvu6578
2dbc9598-de4e-4565-95cc-266c4a80bcae,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,d18743af-8724-47da-a1a9-4ed14e94bf57,"#N/A","#N/A",Run-on-all-quotelines
2f10ab39-ba8c-4368-aea0-e8377ea9fcf0,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,bf564133-da0a-4385-acfd-c259d99d86b0,"#N/A","#N/A","#N/A"
